,Date,Content
107,2021-12-02 13:13:47,Sangat merugikan
879,2021-11-06 3:12:08,Tinggal dari segi tampilan aplikasi aja kurang simple...
731,2021-11-02 21:27:31,MAU DFTAR SULIT AMAT(USER NAME SUDAH DI GUNAKAN MEMBER LAIN jawabanya terus menerus)MIIN...........gimana tolong pencerahanya.......
1049,2021-11-13 13:46:36,"aplikasi mobile ni sering bug,respon coin lama muncul,market loading ga muncul2signal Uda bagus, kecepatan internet sudah ok,tolong dong aplikasi nya jangan sering bug.versi web lebih cepat daripada aplikasi nya"
471,2021-11-01 3:46:01,"ini gimana sih cara verivikasi ya lewat no hp , ngk di kirim kirim kodenya ke no hp , kesel jadinya"
927,2021-11-26 2:50:46,Aplikasi bagus
335,2021-11-15 2:39:48,Gimana nih kok harganya Coin di Indodax bisa beda dengan Exchange yang lain? Mohon diperbaiki.
462,2021-10-27 1:14:29,Kirim dari metamask lama bgt masuk nya. Kalo depo pake rekening ae cepet.. tingkatin kualitas kecepatannya min.
911,2021-12-01 6:43:47,Gagal trus utk verifikasi nya mohon dipermudah utk verifikasi nya
106,2021-12-02 9:57:15,"Naik tinggi banget padahal, eh duitnya dipotong jual beli sama aja, yg kaya indodax aja, nasabahnya banyakan yg buntung, liat ja bnyk *1 nya, bagi2lah yg ada nanti bangkrut pd kabur. Jual di titik tertentu lngsung kena biaya dicancel ga balik, aplikasi tuyul, Nti karyawannya di PHK, terus maen krypto, dimakan sm developer lain, miskin lagi, karma berlaku cuuuy, malah bisa lebih parah..."
561,2021-10-14 0:53:05,Mau kyc aja susah bet masa 2003 bulannya cuman sampe oktober.
34,2021-11-14 7:39:45,"Aplikasi sering lemot, buat jual apalagi lama banget al hasil jadi gagal. Ga sesuai sama biaya FEE nya buat WD yang terlalu mahal. Kalo mahal aplikasinya bagus dan ga sering eror sih it's oke. Ini sering eror, buat refresh aja lama banget. Tolong segera perbaiki sistemnya, dan buat CS segera tindak cepat buat yang mengalami kesulitan, udah sulit malah di persulit lagi sama CS nya. Thanks!"
830,2021-10-17 14:56:02,"Sementara kasih 4 dulu ya, kalau sampai akhir tahun 2021 bisa tercapai targetnya, baru aku tambah bintangnya..🤗"
1048,2021-11-13 6:11:13,"Pelayanan baik dan aplikasi mudah di mengerti, terus tingkatkan dalam pelayanan dengan tetap Amanah # always be succeed indodax sbg platform terbaik asal Indonesia."
194,2021-11-27 13:13:42,Halo Min Sya Mau Tanya Kenapa Coin Raca Tidak Ada Di Platform Indodax?
1184,2021-12-01 8:23:58,Mantab
374,2021-11-04 13:39:15,"Bgst, ini indodax pas wd koin nominal lumayan masuknya dipending mulu, kalo koin nominal receh cepet masuknya, bgst, kirain wallet terpercaya, malah memperdaya kntl"
415,2021-10-22 12:59:16,"Min, depo saya sampai sekarang belum masuk juga. Biasanya langsung masuk. Sudah 2x lho kayak gini. Hubungi lewat live chat udah nunggu lama malah keputus terus. Tolong diproses sekarang. Saya gak mau tau. Karena udah 2x."
437,2021-10-16 13:55:19,Tolong setiap garis2 analisa yang dibuat di chart tradingviewnya bisa tersimpan otomatis.. jadi bisa melihat history analisa tanpa bolak balik corat coret grafik lagi. Trims
563,2021-10-27 8:01:56,Kok error sih tolong di perbaiki
845,2021-11-26 0:54:06,fee ny terlalu besar buat kita pemain receh
767,,"Susah, transaksi lambat"
1054,2021-10-22 12:58:41,"Sejauh ini memakai Indodax ,tidak ada masalah yg sangat serius,tetap masih nyaman memakaii indodax ,semoga server indodax tdk maintance terus ketika coin pump .semoga indodax lebih sering mengadakan promo agar pemula bisa bergabung ."
1036,2021-12-01 14:52:11,"Baguuuus lah,butuh update untuk info atau berita begitu...pasti lebih bagus👍"
263,2021-11-26 5:43:56,"Akun saya kenapa nggk bisa log in padahal password sudah sangat benar, apa maksud ini.😔"
987,2021-11-14 12:57:29,wooww
339,2021-11-14 13:03:24,Kok yg terbaru virtualaccount BNI nya jadi ilang yaa
838,2021-11-09 8:04:23,Tolong dong admin supaya menambah kan koin² mucin nya biar lebih joss lagi karna kalau sudah tinggi harga nya kasian kami pemain modal sedikit🙏🏼🙏🏼
99,2021-10-28 9:20:25,Hebat ya indodok..mau jual di harga tinggi..gak bisa..failed terus..sampai akhirnya jual rugi 3 kali lipat..di paling bawah..wkwkwk Ini sama aja cukong..buat para pemula..don't investasions in here..isi nya mapia semua..kalian wajib pikir2 lagi
356,2021-11-10 6:40:56,Fee Withdraw Kurangin Lah Masa Iya Withdraw Rp.100.000 Fee Withdraw Rp.25.000 Njir Kacau
131,2021-12-01 8:50:45,Mohon diperbaiki aplikasinya veripikasi akun gagal terus sampai harus gunakan nomor HP baru
508,2021-10-30 8:43:50,"Bintang 3 dulu, Nanti kalau sudah kaya baru tambah in Bintang 2"
773,2021-10-27 1:40:20,Fucm
297,2021-10-27 9:02:27,Loh kok gak bisa transaksi? Ktinggalan kereta dong klo gini pas turun
965,2021-11-18 0:32:19,Lmyan puas
1068,2021-11-14 8:11:23,"Saya suka......,....................... ................................................... Ya gitu deh. Saya suka"
473,2021-11-10 7:21:20,Tolong ditambahkan total loss/profit atas coin yang kita beli di masing2 halaman coin
38,2021-11-07 1:16:31,"Masukan nih buat INDODAX, harusnya ada persentase keuntungan/kerugian nya di aplikasi HP nya, biar kita tahu berapa persen kerugian atau keuntungan kita dari pertama awal beli.... Jangan kalah sama sebelah... Terus biaya WD jangan terlalu mahal, kasian trader yang mau WD harian... Ane kasih bintang 1 dulu selama belum ada perubahan dari INDODAX ya..."
1041,2021-11-19 2:30:17,Mantap indodax...sekalian diperbanyak fiturnya bisa staking dll biar tidak ketinggalan sama yang lain
1055,2021-11-08 0:09:21,Tolong Trading nya jangan Lemot lah .. Di Perbaiki lagi .. Kalau Gak ada Perubahan Bintang nya nanti saya kasih bintang 1 Indodax Trading Ok .
402,2021-11-28 6:57:06,"1. Server benerin min, MT terus 2. Fitur staking dibuat, buat yg nyangkut kan lumayan 3. Biaya Taker kurangin lah, kegedean 0,3 4. Biaya WD kegedean, toko sebelah aja cuma Rp. 5500 biaya WD 5. Fitur chat CS kelamaan antriannya, emang CS nya cuma satu orang apa ya? 6. Yang terakhir, kalo mau delist aset jangan dadakan, minimal 3minggu atau 1 bulan lah di infoin, kasian tau yg punya aset😅😅"
420,2021-10-29 6:32:52,"SOLVED: ANEH saya sudah setting take profit (sell di harga 447.xxx) ketika saya cek history harga, padahal sdah melewati 450.xxx saya sudah pastikan waktunya, seharusnya sdah ke Sell. Tp skg harga malah turun lagi. Kalau kayak gini ya rugi. TERNYATA PENDINGNYA LAMA -+ 3 JAM"
700,2021-11-09 7:44:21,"Duhh Tolong INDODAX Di Perbaiki, Untuk Transfer Ke Dompet Elektronik, Udah Fee Nya Mahal Transfernya Cuma Bisa Dikit, Transfer 1Juta Fee 25rb, Transfer 10Jt Harus 10Kali Transaksi Dengan Biaya Fee 25rb Berkali-kali. Duit Habis Dah Kepotong Fee 🙂🙂 Tolong Di Perbaiki Yaa 🙏🙏 Kalau Aplikasi Mau Berkembang, Tolong Jangan Banyak Merugikan Pengguna 🙂🙂"
1027,2021-11-16 7:00:53,Tolong tambahkan presentase keuntungan/kerugian nya agar pengguna lebih enak!! Dan tambahkan notifikasi ke hape harga asset yang lagi turun/naik
447,2021-10-04 3:52:36,"Kepada Indodax.. Saya mau tanya,kenapa saya tidak bisa login? Padahal pin saya sudah benar. Mohon tanggapanya."
103,2021-12-02 16:28:06,Wd nya lama mutasinya hilang
850,2021-11-03 3:07:32,Kalau mau narik 100k fee nya mahal banget 25k Tolong Kondisikan dong.. Harusnya fee nya tergantung jumlah penarikan :3
724,2021-11-03 5:54:40,Mantaf
217,,"Semua semua mahal, gangguan terusss, masa kalah sana yg serba murah siii. Kalo begini begini teruss rakyat indodax pindah ke binance semua, cuma butuh waktu aja. Soory kalo terlalu kritis"
249,2021-11-16 14:48:11,"Proses jual beli terlalu lama, beli dolar aja sampe ber jam-jam . Apalagi beli/jual crypto"
809,2021-11-16 0:10:00,Overall apk bagus tampilan oke dan simple yang sangat di sayangkan fee withdraw nya itu loh yang gede banget beda jauh sama apk sebelah. Coba untuk kedepanya di rencakan pengurangan potongan fee nya
707,2021-11-07 5:54:53,"Kepada developer tolong batas umur verifikasinya tolong di setting lagi ,supaya yang umur 17 bisa verifikasi"
230,2021-11-09 6:38:36,"Pas untung di jual prosesnya lama banget, 0as beli harga rendah beberapa menit kemudian harga naik tapi proses beli juga jadi lama. Mohon di perbaiki"
1008,2021-11-26 5:48:36,"Ketika hati penuh rasa syukur, Tuhan pasti kan sediakan berkat yang tak terukur 🙏 ku angkat tangan berserah, biar Tuhan yang turun tangan menolong 👐 Perbaiki diri, biar Tuhan kan memperbaiki segala sesuatu dalam kehidupan kita. Indodax mantap 👍 Terus tingkatkan yg baik2 dan semoga hidup kita berejeki baik dan sejahtera.. Amin"
274,2021-11-06 14:24:24,Tolong kalo maintenance segera di perbaiki secepatnya kasian yang mau buy coin jadi ketinggalan momen :)
36,2021-11-07 6:56:25,"Gausah instal bro,, aplikasi pencuri uang,, masak saya withdraw ke trust wallet ga masuk padahal di indodax nya sukses, saya udah ngikutin cara yang bener juga,, di transfer kemana oi duit itu??,,, udah nanya melalui live chat jawaban nya cuma suruh nunggu lagi dalam proses,, proses apa??? Udah 4hari saya ni nunggu masak blm kelar juga,,,, udah balik aja duit itu langsung tak uninstal tapi itu juga kalau balik wkwk,,, udah gausah instal, kecewa!!"
430,2021-11-22 12:29:44,"Susah sell di limit order, Prosesnya Laaammaaaaaa banget. (AOA, VIDY sebangsanya) sampek berjam jam dan harga turun lagi..."
307,2021-11-27 6:27:36,"Deposit di potong, wd juga kena potong, buset ini aplikasi,"
585,2020-10-09 20:23:14,Kenapa sich indodax eror terus
564,2021-10-07 0:28:51,Blum ada hasil jadi setengah dulu
109,2021-12-02 13:04:42,"Biasakan sebelum instal baca ulasan .. Jika anda menggunakan aplikasi ini saya yakin anda akan kehilangan smua aset Anda , karna indodax sekarang hanya mencari keuntungan semata , tanpa memikirkan penggunanya sama sekali"
427,2021-11-10 14:33:17,"dear Indodax kenapa kalian tidak pro trader lokal, harga dengan toko luar sangat bertolak belakang, apakah kalian cinta cukong daripada kami modal kecil yg bisanya beli AOA"
1056,2021-10-28 7:19:38,"Dengan indodax trading lebih mudah d pahami, lebih ngerti karena memang pake bahasa Indonesia kan aku suka banget, makasih ya indodax, sekarang aku sedang menikmati profit, ilmu dan praktek hasil nya mantul to the mars"
346,2021-11-12 7:08:11,Tolong perbaharui grafignya...
1073,2021-10-30 3:40:41,Dear admin indodax sy mau bertanya ..kenapa aplikasi indodax sy grafik candle nya tidak bagus..grafiknya patah patah dan tidak singkron sambungan candlenya..?
1024,2021-11-18 2:34:44,Teman setia untuk trading crypto. Mantap dah?! 👍👍 Saran : Biaya penarikan dikurangi dong. 25k sekali penarikan sangat berat dan bisa jebol di dompet. 😭
1095,2021-10-04 6:20:23,Semoga indodax bisa memuat informasi maupun artikel ttg koin baru dan koin yg sedang trend sehingga memudahkan para trader utk berinvestasi di koin2 pilihannya. Sehingga pemula banyak mendapatkan informasi tsb.
559,2021-11-05 1:25:32,Dana beku sangat mengganggu
90,2021-10-29 0:21:50,"Indodax tolong perbaiki lagi servernya, kemarin pas shiba lagi mau pump-pumpnya saya mau enty susah amat, delay terus, lemot, padahal, saya pakai wifi, pas mau take profit delay lagi, mau cencel order delay lagi, di situsnya juga sama, tolong perbaiki ya, dan tingkatkan lagi servernya"
48,2021-11-18 6:14:21,"Banyak kali potongan biayanya dan penjualan kenapa ada minimal pula, biaya adminnya gila-gilaan"
530,2021-10-19 3:52:23,"Kadang error saat trafic banyak, biaya agak mahal"
822,2021-06-06 0:19:28,"Sering eror.. Berpotensi merugikan, karena ini kan kaitan nya sama aset..(6/6/21) Sudah lumayan bagus. MT rutin dan ada pemberitahuan.. Saran tambahin menu stop loss"
60,2021-11-06 8:24:24,Mengapa saya login menggunakan email saya gak bisa ya kk.. Swya seorang pemula baru daftar tp gak bisa... Sdgkan no hp saya mau registerasi ulang sdh gak bisa... Mohon upgred ulang... 😭😭😭
153,2021-11-30 6:28:19,Good
